region;comuna;estado_principal_label;apto_para_visor;archivo_recomendado;capa_recomendada;motivo;prc_fecha;prc_nombre;actos_posteriores;ultimo_acto_posterior
La Araucanía;Carahue;Requiere revisar cambios posteriores;REVISAR;IPT_Araucania/PRC/Carahue/IPT_09_PRC_Carahue.shp;IPT_09_PRC_Carahue;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1989-04-05;Plan Regulador Comunal de Carahue;3;2013-01-04
La Araucanía;Chol Chol;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
La Araucanía;Collipulli;Requiere revisar cambios posteriores;REVISAR;IPT_Araucania/PRC/Collipulli/IPT_09_PRC_Collipulli.shp;IPT_09_PRC_Collipulli;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2009-07-02;Plan Regulador Comunal de Collipulli;1;2013-01-30
La Araucanía;Cunco;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
La Araucanía;Curacautin;Requiere revisar cambios posteriores;REVISAR;IPT_Araucania/PRC/Curacautin/IPT_09_PRC_Curacautin.shp;IPT_09_PRC_Curacautin;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1989-05-04;Plan Regulador Comunal de Curacautín;1;1997-03-05
La Araucanía;Curarrehue;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
La Araucanía;Ercilla;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
La Araucanía;Freire;Requiere revisar cambios posteriores;REVISAR;IPT_Araucania/PRC/Freire/IPT_09_PRC_Freire.shp;IPT_09_PRC_Freire;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1966-10-18;Plan Regulador Comunal de Freire;1;
La Araucanía;Galvarino;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
La Araucanía;Gorbea;Requiere revisar cambios posteriores;REVISAR;IPT_Araucania/PRC/Gorbea/IPT_09_PRC_Gorbea.shp;IPT_09_PRC_Gorbea;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;2012-07-24;Plan Regulador Comunal de Gorbea;2;2016-02-16
La Araucanía;Lautaro;Requiere revisar cambios posteriores;REVISAR;IPT_Araucania/PRC/Lautaro/IPT_09_PRC_Lautaro.shp;IPT_09_PRC_Lautaro;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1988-02-19;Plan Regulador Comunal de Lautaro;1;2017-06-27
La Araucanía;Loncoche;Requiere revisar cambios posteriores;REVISAR;IPT_Araucania/PRC/Loncoche/IPT_09_PRC_Loncoche.shp;IPT_09_PRC_Loncoche;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1991-01-14;Plan Regulador Comunal de Loncoche;4;2012-07-27
La Araucanía;Lonquimay;Requiere revisar cambios posteriores;REVISAR;IPT_Araucania/PRC/Lonquimay/IPT_09_PRC_Lonquimay_Villa_Portales.shp;IPT_09_PRC_Lonquimay_Villa_Portales;Existen actos normativos posteriores al instrumento base y no está verificado que todos estén incorporados en el SIG.;1978-09-13;Plan Regulador Comunal de Villa Portales;2;2021-04-14
La Araucanía;Los Sauces;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
La Araucanía;Lumaco;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
La Araucanía;Melipeuco;Sin cartografía SIG vinculada;NO;;;No se encontró una capa SIG vinculada con suficiente confianza al instrumento vigente.;;;0;
